name,state,street,lon,lat,formatted,categories,min_fee
Gandoufly,Giza,El khazzan Street,31.0892415,29.9550862,"Gandoufly, El khazzan Street, Giza, 12587, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.seafood']",0
Gawharet Al Ahram Hotel,Giza,Om Al Abtaal Square,31.15443361,29.9912609,"Gawharet Al Ahram Hotel, Om Al Abtaal Square, Kom al Akhdar, Giza, 12574, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
Gawharet Al Ahram Hotel,Giza,Om Al Abtaal Square,31.15443361,29.9912609,"Gawharet Al Ahram Hotel, Om Al Abtaal Square, Kom al Akhdar, Giza, 12574, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
Giza palace,Giza,Side 26th of July Axis,31.002796,30.0179382,"Giza palace, Side 26th of July Axis, El Nada Compound, 12573, Egypt","['accommodation', 'accommodation.hotel']",0
Giza palace,Giza,Side 26th of July Axis,31.002796,30.0179382,"Giza palace, Side 26th of July Axis, El Nada Compound, 12573, Egypt","['accommodation', 'accommodation.hotel']",0
Golden Tulip Hotel October,Giza,Side Zewil Street,31.0530119,29.9481384,"Golden Tulip Hotel October, Side Zewil Street, Al Fardous City, 6th of October, 12578, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']",0
Golden Tulip Hotel October,Giza,Side Zewil Street,31.0530119,29.9481384,"Golden Tulip Hotel October, Side Zewil Street, Al Fardous City, 6th of October, 12578, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']",0
Grand Cafe,Cairo,Kornish Al Nil Street,31.2525585,29.9555574,"Grand Cafe, Kornish Al Nil Street, Al-Maasara, Cairo, 11917, Egypt","['catering', 'catering.restaurant']",0
Grand Cafe,Red Sea,"Al Qusair, Marsa Aalam Road",34.635243,25.533852,"Grand Cafe, Al Qusair, Marsa Aalam Road, Port Ghalib, Egypt","['catering', 'catering.cafe']",0
Grease,Red Sea,"Hurghada, Ismailia Road",33.7168725,27.3111775,"Grease, Hurghada, Ismailia Road, Al Ahia', 84509, Egypt","['catering', 'catering.fast_food']",0
Green Sudr Resort,South Sinai,"Ras Sedr, Al Tour Road",32.7524236,29.4524985,"Green Sudr Resort, Ras Sedr, Al Tour Road, Ras Sudr, Egypt","['accommodation', 'accommodation.hotel']",0
Gresham,Cairo,Maarouf Street,31.23927728,30.049118,"Gresham, Maarouf Street, Bab al Luq, Cairo, 11956, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
Gresham,Cairo,Maarouf Street,31.23927728,30.049118,"Gresham, Maarouf Street, Bab al Luq, Cairo, 11956, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
Gresham Hotel,Cairo,Talaat Harb Street,31.2387148,30.0485745,"Gresham Hotel, 22 Talaat Harb Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']",0
Gresham Hotel,Cairo,Talaat Harb Street,31.2387148,30.0485745,"Gresham Hotel, 22 Talaat Harb Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']",0
Griix,Cairo,Street 231,31.2767748,29.9615956,"Griix, 38 Street 231, Cairo, 11728, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.greek']",0
Gringos,Cairo,Street 231,31.2767621,29.9626884,"Gringos, Street 231, Cairo, 11431, Egypt","['catering', 'catering.fast_food']",0
Habiba Gallery,Luxor,Andraws Basha Street,32.6413909,25.7002036,"Habiba Gallery, 3 Andraws Basha Street, Luxor City, Luxor, 85951, Egypt","['commercial', 'commercial.gift_and_souvenir']",0
Habiba Gallery,Luxor,Andraws Basha Street,32.6413909,25.7002036,"Habiba Gallery, 3 Andraws Basha Street, Luxor City, Luxor, 85951, Egypt","['commercial', 'commercial.gift_and_souvenir']",0
Hamed for drinking,Cairo,Street 9,31.2602861,29.9572971,"Hamed for drinking, Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.drinks']",0
Hameed,Giza,Side 26th of July Axis,30.99205628,30.00805875,"Hameed, Side 26th of July Axis, El Nada Compound, 12573, Egypt","['building', 'building.catering', 'catering', 'catering.fast_food', 'catering.fast_food.burger']",0
Hameed,Giza,Side 26th of July Axis,30.99145295,30.0079082,"Hameed, Side 26th of July Axis, El Nada Compound, 12573, Egypt","['building', 'building.catering', 'catering', 'catering.fast_food', 'catering.fast_food.burger']",0
Happy Land Hotel,Aswan,"Cairo, Aswan Eastern Desert Road",32.8895655,24.9906178,"Happy Land Hotel, Cairo, Aswan Eastern Desert Road, Idfu City, 81644, Egypt","['accommodation', 'accommodation.hotel']",0
Har,Cairo,Al Nasr Street,31.2844897,29.9761452,"Har, Al Nasr Street, Cairo, 11742, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.pizza']",0
Hardee's,Cairo,Hafez Ramadan Street,31.3446134,30.0680454,"Hardees, Hafez Ramadan Street, Cairo, 11391, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.burger']",0
Hardee's,Cairo,Mansheyah Al Tayaran Street,31.3089936,30.0868991,"Hardees, Mansheyah Al Tayaran Street, Al-Zaitoun, Cairo, 11774, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.burger']",0
Hardee's,Cairo,Al Nasr Street,31.284407,29.9761651,"Hardee's, Al Nasr Street, Cairo, 11742, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.burger']",0
hash café londonessence,Cairo,Mohamed Badr Street,31.2874328,29.9767763,"hash café londonessence, Mohamed Badr Street, Cairo, 11742, Egypt","['catering', 'catering.cafe']",0
Hassan Fathy Theatre,Luxor,Tamthal Mamnoon Street,32.62239359,25.71545765,"Hassan Fathy Theatre, Tamthal Mamnoon Street, Al Baairat Village, 85958, Egypt","['building', 'building.entertainment', 'entertainment', 'entertainment.culture', 'entertainment.culture.theatre']",0
Hassan Fathy Theatre,Luxor,Tamthal Mamnoon Street,32.62239359,25.71545765,"Hassan Fathy Theatre, Tamthal Mamnoon Street, Al Baairat Village, 85958, Egypt","['building', 'building.entertainment', 'entertainment', 'entertainment.culture', 'entertainment.culture.theatre']",0
Hayat,Giza,Al Afdal Street,31.1413339,29.9753361,"Hayat, Al Afdal Street, Nazlet al Batran, Giza, 12125, Egypt","['accommodation', 'accommodation.hotel']",0
Hayat,Giza,Al Afdal Street,31.1413339,29.9753361,"Hayat, Al Afdal Street, Nazlet al Batran, Giza, 12125, Egypt","['accommodation', 'accommodation.hotel']",0
Hilton Cairo Zamalek Residences,Cairo,Mohamed Mazhar Street,31.22270627,30.06799785,"Hilton Cairo Zamalek Residences, 21 Mohamed Mazhar Street, Al-Sabtiyya, 11211, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",0
Hilton Cairo Zamalek Residences,Cairo,Mohamed Mazhar Street,31.22270627,30.06799785,"Hilton Cairo Zamalek Residences, 21 Mohamed Mazhar Street, Al-Sabtiyya, 11211, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",0
Hilton Pyramids Golf,Giza,Al Wahat Road,31.04439972,29.96299995,"Hilton Pyramids Golf, Al Wahat Road, Gardina Park valley, 6th of October, 12585, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'wheelchair', 'wheelchair.yes']",0
Hilton Pyramids Golf,Giza,Al Wahat Road,31.04439972,29.96299995,"Hilton Pyramids Golf, Al Wahat Road, Gardina Park valley, 6th of October, 12585, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'wheelchair', 'wheelchair.yes']",0
Holiday Inn Maadi Cairo,Cairo,Hussain Ahmed Othman Street,31.24822461,29.96100025,"Holiday Inn Maadi Cairo, 29A Hussain Ahmed Othman Street, Ma‘di Al Khahiri, Cairo, 11431, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free']",0
Holiday Inn Maadi Cairo,Cairo,Hussain Ahmed Othman Street,31.24822461,29.96100025,"Holiday Inn Maadi Cairo, 29A Hussain Ahmed Othman Street, Ma‘di Al Khahiri, Cairo, 11431, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free']",0
HolydIes,Giza,Side Gamaa Al Doul Al Arabiya Street,31.2074897,30.059221,"HolydIes, Side Gamaa Al Doul Al Arabiya Street, El Agouza, Giza, 12654, Egypt","['accommodation', 'accommodation.hotel']",0
HolydIes,Giza,Side Gamaa Al Doul Al Arabiya Street,31.2074897,30.059221,"HolydIes, Side Gamaa Al Doul Al Arabiya Street, El Agouza, Giza, 12654, Egypt","['accommodation', 'accommodation.hotel']",0
horany fish,Giza,Al Nozha Street,31.004429,30.0514488,"horany fish, Al Nozha Street, El Rabwa, 12593, Egypt","['catering', 'catering.restaurant']",0
Horus House Hotel,Cairo,Ismail Mohamed Street,31.2192726,30.0637719,"Horus House Hotel, 21 Ismail Mohamed Street, Al-Sabtiyya, 11568, Egypt","['accommodation', 'accommodation.hotel']",0
Horus House Hotel,Cairo,Ismail Mohamed Street,31.2192726,30.0637719,"Horus House Hotel, 21 Ismail Mohamed Street, Al-Sabtiyya, 11568, Egypt","['accommodation', 'accommodation.hotel']",0
Hotel Amoun,Aswan,Al Gemhoureya Street,32.8764355,24.9763719,"Hotel Amoun, Al Gemhoureya Street, Idfu City, 81644, Egypt","['accommodation', 'accommodation.hotel']",0
Hotel Diamond also known as Massa,Aswan,Al Tahrir Street,32.8757279,24.977658,"Hotel Diamond also known as Massa, Al Tahrir Street, Idfu City, 81644, Egypt","['accommodation', 'accommodation.hotel']",0
hotel Velvet 1915,Cairo,Maarouf Street,31.23907422,30.04926655,"hotel Velvet 1915, 2 Maarouf Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
hotel Velvet 1915,Cairo,Maarouf Street,31.23907422,30.04926655,"hotel Velvet 1915, 2 Maarouf Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
Hotmix,Giza,Fakhry Street,31.27467902,29.8476389,"Hotmix, Fakhry Street, El Badrashein, 12918, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",0
House of Coffee,Red Sea,Ahmed Ragab Street,33.6737926,27.4071022,"House of Coffee, Ahmed Ragab Street, Gamsha, 84513, Egypt","['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop']",0
Hunting Hall Museum,Cairo,Al Saraya Street,31.22879345,30.028555,"Hunting Hall Museum, Al Saraya Street, Al Manyal, Cairo, 11555, Egypt","['building', 'building.tourism', 'entertainment', 'entertainment.museum']",0
Hyatt Regency Cairo West,Giza,"Cairo, Alexandria Desert Road",31.07305122,30.01831275,"Hyatt Regency Cairo West, km 22 Cairo, Alexandria Desert Road, Ash Sheikh Zayed, 12677, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']",0
Hyatt Regency Cairo West,Giza,"Cairo, Alexandria Desert Road",31.07305122,30.01831275,"Hyatt Regency Cairo West, km 22 Cairo, Alexandria Desert Road, Ash Sheikh Zayed, 12677, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']",0
Il Forno di Amelia,Red Sea,Inas Al Deghedi Street,33.6753984,27.3956458,"Il Forno di Amelia, Inas Al Deghedi Street, Gamsha, 84513, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.italian']",0
Il Limone,Red Sea,Doctor Magdy Yaacoub Street,33.684565,27.3978015,"Il Limone, Doctor Magdy Yaacoub Street, Gamsha, 84513, Egypt","['catering', 'catering.restaurant']",0
Il Pennello Ceramic Cafe,Cairo,Street 9,31.2667985,29.9510533,"Il Pennello Ceramic Cafe, Street 9, Cairo, 11431, Egypt","['catering', 'catering.cafe']",0
Il Pennello Ceramic Café,Cairo,Omar Ibn Al Khatab Street,31.333329,30.1002143,"Il Pennello Ceramic Café, 2 Omar Ibn Al Khatab Street, Heliopolis, Cairo, 11757, Egypt","['catering', 'catering.cafe']",0
Imperial Boat,Cairo,Al Moseqare Mohamed Abd Al Wahab Street,31.22751669,30.053022,"Imperial Boat, Al Moseqare Mohamed Abd Al Wahab Street, Al-Sabtiyya, 12344, Egypt","['catering', 'catering.restaurant']",0
Imtenan,Cairo,Street 9,31.2603692,29.9576344,"Imtenan, 77 Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.deli', 'commercial.food_and_drink.health_food']",0
indiana Hôtel,Giza,Adel Hussein Rostom Street,31.21719555,30.0435449,"indiana Hôtel, 18 Adel Hussein Rostom Street, Dokki, Giza, 12611, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
indiana Hôtel,Giza,Adel Hussein Rostom Street,31.21719555,30.0435449,"indiana Hôtel, 18 Adel Hussein Rostom Street, Dokki, Giza, 12611, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
"InterContinental Cairo Semiramis, an IHG Hotel",Cairo,Kamal Al Din Hussain Street,31.23226068,30.0428649,"InterContinental Cairo Semiramis, an IHG Hotel, Kamal Al Din Hussain Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",0
"InterContinental Cairo Semiramis, an IHG Hotel",Cairo,Kamal Al Din Hussain Street,31.23226068,30.0428649,"InterContinental Cairo Semiramis, an IHG Hotel, Kamal Al Din Hussain Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",0
Island Restaurant,Giza,Al Obour Street,30.99359399,30.0443791,"Island Restaurant, Al Obour Street, Continental Gardens, 12593, Egypt","['catering', 'catering.restaurant']",0
Ismailia,Aswan,Al Matar Street,32.899042,24.092523,"Ismailia, Al Matar Street, Othman Ahmed Ibrahim, 81521, Egypt","['catering', 'catering.restaurant']",0
Jamaica Guest House,Aswan,loop from Nubialin,32.8910197,24.0894223,"Jamaica Guest House, loop from Nubialin, Koti, 81529, Egypt","['catering', 'catering.restaurant']",0
Juice bar,Suez,Hoda Shaarawy Street,32.5570139,29.9647528,"Juice bar, Hoda Shaarawy Street, Suez, 43511, Egypt","['catering', 'catering.cafe']",0
Juice bar,Suez,23rd July Street,32.5538555,29.9670563,"Juice bar, 23rd July Street, Suez, 43518, Egypt","['catering', 'catering.cafe']",0
Jungle Club,Cairo,Street 11,31.3391126,29.8413658,"Jungle Club, Street 11, Cairo, 11723, Egypt","['catering', 'catering.cafe', 'internet_access']",0
Jura el Galala,Suez,طريق ساحل السخنة Sukhna Coast Road,32.45550009,29.4698389,"Jura el Galala, طريق ساحل السخنة Sukhna Coast Road, Ain Sokhna, 43552, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
Jura El Galala,Suez,طريق ساحل السخنة Sukhna Coast Road,32.4553891,29.4698448,"Jura El Galala, طريق ساحل السخنة Sukhna Coast Road, Ain Sokhna, 43552, Egypt","['accommodation', 'accommodation.hotel']",0
Kafana Guest House Nile View,Aswan,loop from Nubialin,32.8856693,24.0890581,"Kafana Guest House Nile View, loop from Nubialin, Koti, 81529, Egypt","['accommodation', 'accommodation.guest_house', 'catering', 'catering.restaurant']",0
Kahwet Share,Cairo,Al Nahda Street,31.2586697,29.9591734,"Kahwet Share, Al Nahda Street, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.cafe']",0
Kana Kato Restaurant & cafe,Aswan,loop from Nubialin,32.8854316,24.0885437,"Kana Kato Restaurant & cafe, loop from Nubialin, Koti, 81529, Egypt","['catering', 'catering.restaurant']",0
Kanaka Cafe,Giza,El Geish Street,31.0893443,29.9587138,"Kanaka Cafe, El Geish Street, Ash Sheikh Zayed, 12587, Egypt","['catering', 'catering.cafe', 'internet_access']",0
Karibu,Red Sea,Doctor Magdy Yaacoub Street,33.673954,27.395928,"Karibu, Doctor Magdy Yaacoub Street, Gamsha, 84513, Egypt","['catering', 'catering.restaurant']",0
Kazaz,Cairo,Al Bostan Al Saedi Street,31.23923505,30.0470866,"Kazaz, 7 Al Bostan Al Saedi Street, Abdin, Cairo, 11513, Egypt","['building', 'building.catering', 'catering', 'catering.fast_food']",0
KFC,Cairo,Ragheb Pasha Street,31.3313076,29.8471349,"KFC, Ragheb Pasha Street, Cairo, 11735, Egypt","['catering', 'catering.fast_food']",0
KFC,Cairo,Hassn Al Gazzar Street,31.3557797,30.0688081,"KFC, Hassn Al Gazzar Street, Cairo, 11391, Egypt","['catering', 'catering.fast_food']",0
KFC,Suez,"Side Suez, Ain Sokhna Road",32.3420125,29.6925734,"KFC, Side Suez, Ain Sokhna Road, Ain Sokhna, Egypt","['catering', 'catering.fast_food']",0
KFC,Suez,"Side Suez, Ain Sokhna Road",32.3420125,29.6925734,"KFC, Side Suez, Ain Sokhna Road, Ain Sokhna, Egypt","['catering', 'catering.fast_food']",0
Kid's Cafe,Cairo,Madinaty Road,31.642028,30.09534725,"Kid's Cafe, Madinaty Road, Cairo, 19519, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",0
King Hotel,Giza,Abd Al Rahim Sabry Street,31.214383,30.0409859,"King Hotel, Abd Al Rahim Sabry Street, Dokki, Giza, 12611, Egypt","['accommodation', 'accommodation.hotel']",0
King Hotel,Giza,Abd Al Rahim Sabry Street,31.214383,30.0409859,"King Hotel, Abd Al Rahim Sabry Street, Dokki, Giza, 12611, Egypt","['accommodation', 'accommodation.hotel']",0
King Jamaica Restaurant & Cafe,Aswan,loop from Nubialin,32.8908624,24.0894069,"King Jamaica Restaurant & Cafe, loop from Nubialin, Koti, 81529, Egypt","['catering', 'catering.restaurant']",0
koshari Tahrir,Cairo,Abd Al Khaleq Tahrwat Street,31.24050119,30.05022675,"koshari Tahrir, 17 Abd Al Khaleq Tahrwat Street, Abdin, Cairo, 11513, Egypt","['building', 'building.catering', 'catering', 'catering.fast_food']",0
Koshary Alsafoa,Aswan,Al Shahid Mahrous Street,32.9012727,24.0988748,"Koshary Alsafoa, Al Shahid Mahrous Street, Saleh Gahin, 81543, Egypt","['catering', 'catering.restaurant']",0
Koshary and Falafel Sandwiches,Aswan,Al Ta'men Al Sihi Street,32.8850625,24.0621209,"Koshary and Falafel Sandwiches, Al Ta'men Al Sihi Street, Nagaa Al Mahata, 81531, Egypt","['catering', 'catering.restaurant']",0
Kunst Gallery and Cafe,Cairo,Sherif Pasha Street,31.2420145,30.0499139,"Kunst Gallery and Cafe, 28 Sherif Pasha Street, Abdin, Cairo, 11513, Egypt","['catering', 'catering.cafe']",0
L' Asiatique,Red Sea,"Al Qusair, Marsa Aalam Road",34.7855678,25.2558268,"L' Asiatique, Al Qusair, Marsa Aalam Road, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.asian']",0
L'aroma Gourmet Coffee,Cairo,Street 9,31.2598899,29.9578489,"L'aroma Gourmet Coffee, Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.coffee_and_tea']",0
La Casetta,Cairo,Street 18,31.2691641,29.9582723,"La Casetta, Street 18, Cairo, 11431, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.italian']",0
La Luna Pizzeria,Red Sea,Inas Al Deghedi Street,33.6773781,27.3958937,"La Luna Pizzeria, Inas Al Deghedi Street, Gamsha, 84513, Egypt","['catering', 'catering.restaurant']",0
La Palme,Red Sea,"Al Qusair, Marsa Aalam Road",34.37905242,25.9550513,"La Palme, Al Qusair, Marsa Aalam Road, Al Qusair City, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",0
La Petite Creperie,Cairo,Moustafa Kamel Street,31.2604235,29.9589249,"La Petite Creperie, Moustafa Kamel Street, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.cafe', 'catering.cafe.ice_cream', 'catering.ice_cream']",0
La Poire,Cairo,Street 9,31.2606296,29.9568246,"La Poire, 70 Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.cafe']",0
La Poire,Giza,Nady Al Seid Street,31.2021357,30.0438938,"La Poire, Nady Al Seid Street, El Mohandesin, Giza, 12615, Egypt","['building', 'building.catering', 'catering', 'catering.cafe']",0
La Poire,Cairo,The Ring Road,31.3203425,29.9836942,"La Poire, The Ring Road, Cairo, 11771, Egypt","['catering', 'catering.cafe']",0
La Poire,Giza,El Geish Street,31.0891975,29.9577288,"La Poire, El Geish Street, Ash Sheikh Zayed, 12587, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.bakery']",0
La Rotisserie,Red Sea,Al Doctor Abd Al Fattah Fahmy Street,33.6814696,27.38797425,"La Rotisserie, Al Doctor Abd Al Fattah Fahmy Street, Gamsha, 84513, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",0
La Veranda,Red Sea,"Al Qusair, Marsa Aalam Road",34.38000844,25.95222065,"La Veranda, Al Qusair, Marsa Aalam Road, Al Qusair City, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant', 'catering.restaurant.mediterranean']",0
La Voche,Luxor,Al Qarnh Road,32.6329143,25.7063473,"La Voche, Al Qarnh Road, Al Baairat Village, 85951, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.confectionery']",0
La Voche,Luxor,Al Qarnh Road,32.6329143,25.7063473,"La Voche, Al Qarnh Road, Al Baairat Village, 85951, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.confectionery']",0
Lagoona,Giza,Abou Al Houl Al Syahi Street,31.1536378,29.9568667,"Lagoona, Abou Al Houl Al Syahi Street, Nazlet al Batran, Remaya Square, 12561, Egypt","['accommodation', 'accommodation.hotel']",0
Lagoona,Giza,Abou Al Houl Al Syahi Street,31.1536378,29.9568667,"Lagoona, Abou Al Houl Al Syahi Street, Nazlet al Batran, Remaya Square, 12561, Egypt","['accommodation', 'accommodation.hotel']",0
Lagoona,Red Sea,"Al Qusair, Marsa Aalam Road",34.6451069,25.5216462,"Lagoona, Al Qusair, Marsa Aalam Road, Port Ghalib, Egypt","['catering', 'catering.restaurant']",0
Lavie Hotel,Cairo,26th July Street,31.241769,30.0526148,"Lavie Hotel, 26th July Street, Al-Azbakeya, Cairo, 11574, Egypt","['accommodation', 'accommodation.hotel']",0
Lavie Hotel,Cairo,26th July Street,31.241769,30.0526148,"Lavie Hotel, 26th July Street, Al-Azbakeya, Cairo, 11574, Egypt","['accommodation', 'accommodation.hotel']",0
le Chateau; le Chalet - Swiss Restaurant,Giza,Al Nil Street,31.2182018,30.0305602,"le Chateau; le Chalet - Swiss Restaurant, Al Nil Street, Dokki, Giza, 12612, Egypt","['catering', 'catering.restaurant']",0
Le Garage,Red Sea,Ahmed Ragab Street,33.67656457,27.4090063,"Le Garage, Ahmed Ragab Street, Gamsha, 84513, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant', 'catering.restaurant.burger']",0
Le Riad Hotel de Charme,Cairo,Atafet Borgwan,31.2617601,30.0521855,"Le Riad Hotel de Charme, Atafet Borgwan, El-Gamaliyya, Cairo, 11681, Egypt","['accommodation', 'accommodation.hotel']",0
Le Riad Hotel de Charme,Cairo,Atafet Borgwan,31.2617601,30.0521855,"Le Riad Hotel de Charme, Atafet Borgwan, El-Gamaliyya, Cairo, 11681, Egypt","['accommodation', 'accommodation.hotel']",0
Le Riad Pyramids Hotel,Giza,Rowda Al Ahram Street,31.1308122,29.9906676,"Le Riad Pyramids Hotel, Rowda Al Ahram Street, Remaya Square, 12512, Egypt","['accommodation', 'accommodation.hotel']",0
Le Riad Pyramids Hotel,Giza,Rowda Al Ahram Street,31.1308122,29.9906676,"Le Riad Pyramids Hotel, Rowda Al Ahram Street, Remaya Square, 12512, Egypt","['accommodation', 'accommodation.hotel']",0
LIDO,Cairo,Shagarat Al Dur Street,31.2200729,30.0631918,"LIDO, Shagarat Al Dur Street, Al-Sabtiyya, 11211, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.burger']",0
Lifeguard,Giza,Omar El Gizawy Street,31.2053704,30.0649498,"Lifeguard, Omar El Gizawy Street, Meet Okba, Giza, 12658, Egypt","['catering', 'catering.cafe', 'internet_access', 'wheelchair', 'wheelchair.limited']",0
Local restaurant,Aswan,Kornish Al Nile Street,32.8952171,24.0901468,"Local restaurant, Kornish Al Nile Street, Abd Al Aazim Hassn, 81511, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.regional']",0
Location Cafe,Giza,Gamaa Al Doul Al Arabiya Street,31.2025013,30.0548471,"Location Cafe, 13 Gamaa Al Doul Al Arabiya Street, El Mohandesin, Cairo, 12655, Egypt","['catering', 'catering.cafe', 'internet_access', 'internet_access.free']",0
Lucille's,Cairo,Street 9,31.262069,29.9547361,"Lucille's, 54 Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.american', 'catering.restaurant.burger']",0
Luxor Museum,Luxor,Museum Luxor Street,32.644489,25.7076634,"Luxor Museum, Museum Luxor Street, Luxor City, Luxor, 81693, Egypt","['entertainment', 'entertainment.museum']",0
Luxor Museum,Luxor,Museum Luxor Street,32.644489,25.7076634,"Luxor Museum, Museum Luxor Street, Luxor City, Luxor, 81693, Egypt","['entertainment', 'entertainment.museum']",0
Lychee,Red Sea,Ahmed Ragab Street,33.6738355,27.4070474,"Lychee, Ahmed Ragab Street, Gamsha, 84513, Egypt","['catering', 'catering.restaurant', 'vegan', 'vegetarian']",0
Ma Tigoo Hookah Lounge,Cairo,Street 9,31.2635524,29.9535112,"Ma Tigoo Hookah Lounge, 45 Street 9, Ma‘di Al Khahiri, Cairo, 11431, Egypt","['catering', 'catering.cafe']",0
Maadi Hotel,Cairo,Masr Helwan Agricultural Road,31.25133167,29.95927375,"Maadi Hotel, 19 Masr Helwan Agricultural Road, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",0
Maadi Hotel,Cairo,Masr Helwan Agricultural Road,31.25133167,29.95927375,"Maadi Hotel, 19 Masr Helwan Agricultural Road, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",0
Madinet Habu,Luxor,Maabad Habo Road,32.60202145,25.7174974,"Madinet Habu, Maabad Habo Road, Al Baairat Village, 85958, Egypt","['entertainment', 'entertainment.museum']",0
Madinet Habu,Luxor,Maabad Habo Road,32.60202145,25.7174974,"Madinet Habu, Maabad Habo Road, Al Baairat Village, 85958, Egypt","['entertainment', 'entertainment.museum']",0
Maharaja,Giza,Side Al Bostan Street,31.0108055,30.0273069,"Maharaja, Side Al Bostan Street, El Nada Compound, 12573, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.indian']",0
Mahmut Falafel,Aswan,Saad Zaghloul Street,32.8978365,24.0922616,"Mahmut Falafel, Saad Zaghloul Street, Othman Ahmed Ibrahim, 81521, Egypt","['catering', 'catering.restaurant']",0
Mahraja Indian Restaurant,Cairo,Al Nahda Street,31.2579908,29.9585177,"Mahraja Indian Restaurant, Al Nahda Street, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.indian']",0
