name,state,street,lon,lat,formatted,categories,min_fee
فندق لو مريديان الأهرام,Giza,Hadaek Al Ahram 3 Street,31.1299254,29.9893841,"Le Méridien Pyramids Hotel & Spa, Hadaek Al Ahram 3 Street, Remaya Square, 12561, Egypt","['accommodation', 'accommodation.hotel']",0.0
Hyatt Regency Cairo West,Giza,"Cairo, Alexandria Desert Road",31.07305122094545,30.01831275,"Hyatt Regency Cairo West, km 22 Cairo, Alexandria Desert Road, Ash Sheikh Zayed, 12677, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']",0.0
Steigenberger Pyramids Cairo,Giza,"Cairo, Alexandria Desert Road",31.125261135653066,29.9938693,"Steigenberger Pyramids Cairo, Cairo, Alexandria Desert Road, Remaya Square, 12572, Egypt","['accommodation', 'accommodation.hotel']",0.0
Horus House Hotel,Cairo,Ismail Mohamed Street,31.2192726,30.0637719,"Horus House Hotel, 21 Ismail Mohamed Street, Al-Sabtiyya, 11568, Egypt","['accommodation', 'accommodation.hotel']",0.0
Arabian Nights,Cairo,Al Aded Street,31.2672675,30.0486398,"Arabian Nights, 10 Al Aded Street, Islamic Cairo, Cairo, 11633, Egypt","['accommodation', 'accommodation.hotel']",0.0
Golden Tulip Hotel October,Giza,Side Zewil Street,31.0530119,29.9481384,"Golden Tulip Hotel October, Side Zewil Street, Al Fardous City, 6th of October, 12578, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']",0.0
Best View Pyramids Hotel,Giza,Abou Saraya Street,31.1420605,29.9734817,"Best View Pyramids Hotel, 13 Abou Saraya Street, Nazlet al Batran, Giza, 12125, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",0.0
Cairo World Trade Center Hotel & Residences,Cairo,Al Matbaah Al Amireh Street,31.2281499,30.0643123,"Cairo World Trade Center Hotel & Residences, 1191 Al Matbaah Al Amireh Street, Al-Sabtiyya, Cairo, 11221, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']",0.0
براسبيل,Cairo,Talaat Harb Street,31.241795,30.0517845,"Brassbell, Talaat Harb Street, Bab al Luq, Cairo, 11956, Egypt","['accommodation', 'accommodation.hotel']",0.0
Crown Hotel,Cairo,Gawad Hosny Street,31.2432594,30.0485916,"Crown Hotel, 16 Gawad Hosny Street, Bab al Luq, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",0.0
فندق كمبنسكي النيل القاهرة,Cairo,Ahmed Ragheb Street,31.230850144384405,30.0387215,"Kempinski Nile Hotel Garden City Cairo, 12 Ahmed Ragheb Street, Bab al Luq, Cairo, 11241, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
فيكتوريا,Cairo,Al Gemhoureya Street,31.24592849832533,30.0566901,"Victoria, 66 Al Gemhoureya Street, Al-Azbakeya, Cairo, 11523, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
النيل,Cairo,Wasem Hassn Street,31.2323670764158,30.04588595,"The Nile Ritz-Carlton, Cairo, Wasem Hassn Street, Bab al Luq, Cairo, 11556, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
فور سيزونز,Giza,Al Raed Rawaia Ateya Street,31.217259705487574,30.02412435,"Four Seasons Hotel Cairo at The First Residence, Al Raed Rawaia Ateya Street, Giza, 11555, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
كتراكت بيراميدز ريزورت,Giza,Saqara Al Syahi Road,31.1791949431326,29.9647703,"Cataract Pyramids Resort, Saqara Al Syahi Road, Shabramant, 12841, Egypt","['accommodation', 'accommodation.hotel', 'sport']",0.0
ماريوت القاهرة,Cairo,Al Gezira Street,31.22448236672649,30.0568203,"Cairo Marriott Hotel & Omar Khayyam Casino, 16 Al Gezira Street, Boulak, 11211, Egypt","['accommodation', 'accommodation.hotel']",0.0
Holiday Inn Maadi Cairo,Cairo,Hussain Ahmed Othman Street,31.24822461387093,29.96100025,"Holiday Inn Maadi Cairo, 29A Hussain Ahmed Othman Street, Ma‘di Al Khahiri, Cairo, 11431, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free']",0.0
فندق لونشان,Cairo,Ismail Mohamed Street,31.2191142,30.0638579,"Hotel Longchamps, Ismail Mohamed Street, Al-Sabtiyya, 11568, Egypt","['accommodation', 'accommodation.hotel']",0.0
أواسيس هوتيل,Giza,"Cairo, Alexandria Desert Road",31.10356757465733,30.01409375,"The Oasis Hotel, Cairo, Alexandria Desert Road, Remaya Square, 12556, Egypt","['accommodation', 'accommodation.hotel']",0.0
"InterContinental Cairo Semiramis, an IHG Hotel",Cairo,Kamal Al Din Hussain Street,31.23226068207317,30.0428649,"InterContinental Cairo Semiramis, an IHG Hotel, Kamal Al Din Hussain Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",0.0
hotel Velvet 1915,Cairo,Maarouf Street,31.23907421608358,30.04926655,"hotel Velvet 1915, 2 Maarouf Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
فندق أوزيريس,Cairo,Mohamed Mahmoud Street,31.24155396475909,30.0425956,"Hotel Osiris, Mohamed Mahmoud Street, Bab al Luq, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
Windsor,Cairo,Mohamed Bek Al Alfy Street,31.24574314557654,30.05343105,"Windsor, 19 Mohamed Bek Al Alfy Street, Al-Azbakeya, Cairo, 11574, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
Pyramids View Inn,Giza,Abou Al Houl Al Syahi Western Street,31.14114227405858,29.9748143,"Pyramids View Inn, Abou Al Houl Al Syahi Western Street, Kom al Akhdar, Giza, 12125, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
Pearl Hotel,Cairo,Street 82,31.259555794627687,29.9565521,"Pearl Hotel, Street 82, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access']",0.0
Regent House Hotel,Cairo,Al Shai Al Hendy Passage,31.2396366,30.048999,"Regent House Hotel, 2 Al Shai Al Hendy Passage, Bab al Luq, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",0.0
جمعية فنادق الشباب المصري,Cairo,Abd Al Aziz Al Seoud Street,31.2243921,30.0275393,"Youth Hotel, Abd Al Aziz Al Seoud Street, Al Manyal, Cairo, 11555, Egypt","['accommodation', 'accommodation.hotel']",0.0
Villa Belle Epoque,Cairo,Street 13,31.2631143,29.9595817,"Villa Belle Epoque, 63 Street 13, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['accommodation', 'accommodation.hotel']",0.0
اسماعيل ابو السعود,Giza,Waslet Dahshur Road,30.9687471,30.017301,"ismail abu alsoud, 95 Waslet Dahshur Road, October Hills, 12588, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",0.0
8ش ابرهيم خطاب،كفر نصار،الجيزة،محافظة الجيزة 3515051,Giza,Bashir Khatab Street,31.1197104,29.9987147,"8ش ابرهيم خطاب،كفر نصار،الجيزة،محافظة الجيزة 3515051, 8 Bashir Khatab Street, Giza, 12559, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']",0.0
Suisse Hotel,Cairo,Mohamed Basyouni Street,31.2373404,30.0482677,"Suisse Hotel, 26 Mohamed Basyouni Street, Bab al Luq, Cairo, 11556, Egypt","['accommodation', 'accommodation.hotel']",0.0
فندق فور سيزون نايل بلازا القاهره,Cairo,Kornish Al Nil Street,31.2293727,30.0362273,"Four Seasons Hotel Cairo at Nile Plaza, 1089 Kornish Al Nil Street, Al Manyal, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel']",0.0
Almadiafa - المضيفه,Cairo,Champollion Street,31.2353043,30.0472654,"Almadiafa, 4 Champollion Street, Al-Azbakeya, Cairo, 11556, Egypt","['accommodation', 'accommodation.hotel']",0.0
Seven Eleven Heru Pyramids View Hotel,Giza,Sameh Abdel Hakam Street,31.1439583,29.9540856,"Seven Eleven Heru Pyramids View Hotel, 7 Sameh Abdel Hakam Street, Cairo, 12557, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",0.0
Pyramids Park Resort Cairo,Giza,"Cairo, Alexandria Desert Road",31.1160362,30.0006064,"Pyramids Park Resort Cairo, Cairo, Alexandria Desert Road, Remaya Square, 12556, Egypt","['accommodation', 'accommodation.hotel']",0.0
فندق الزمالك لضباط القوات المسلحة,Cairo,15th May Bridge,31.219313381673302,30.0615215,"Zamalek Hotel For Armed Forces Officers, 15th May Bridge, Al-Sabtiyya, 11211, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
فندق العربي,Cairo,Abd Al Aziz Al Seoud Street,31.222991619976938,30.01084455,"Al-Arabi, Abd Al Aziz Al Seoud Street, Masr Al-Qadima, Cairo, 11451, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
فندق شيراتون القاهرة,Giza,Al Nil Street,31.21994709908429,30.0390204,"Sheraton Cairo Hotel & Casino, Al Nil Street, Dokki, Cairo, 12612, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'wheelchair', 'wheelchair.yes']",0.0
نوفوتيل,Cairo,Al Gezira Street,31.22661150021261,30.04454415,"Novotel Hotel Cairo El Borg, Al Gezira Street, Boulak, 11111, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
فندق أوروبا,Cairo,Yaser Rezq Axis,31.27472578466356,30.0211476,"Europe Hotel, Yaser Rezq Axis, Mokattam, Cairo, 11699, Egypt","['accommodation', 'accommodation.hotel']",0.0
Royal Residence Hotel Suites & Apartments,Cairo,Street 18,31.26929595,29.9584158,"Royal Residence Hotel Suites & Apartments, 11 Street 18, Cairo, 11728, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
سوبك,Faiyum,Evelyn Street,30.495923689577936,29.396191700000003,"Sobek Lodge, Evelyn Street, Youssef Al Sediq City, Egypt","['accommodation', 'accommodation.hotel']",0.0
فندق أوبرج الفيوم,Faiyum,Qaroun Lake Road,30.77030503052559,29.468862450000003,"Helnan Auberge El Fayoum Hotel, Qaroun Lake Road, Minshat Sinurus, Al-Wayet Shakshuk, Egypt","['accommodation', 'accommodation.hotel']",0.0
فندق أم كلثوم,Cairo,Ibn Al Nabeyh Street,31.2159286,30.0645602,"Om Kalthoom Hotel, Ibn Al Nabeyh Street, Al-Sabtiyya, 11568, Egypt","['accommodation', 'accommodation.hotel', 'wheelchair', 'wheelchair.limited']",0.0
فندق إيزيس,Cairo,Gamal Selim Street,31.329618741657697,30.03951955,"Isis Hotel, Gamal Selim Street, Nasr City, Cairo, 11717, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'building.commercial']",0.0
بنسيون روما,Cairo,Mohamed Farid Street,31.244547,30.0515136,"Pension Roma, Mohamed Farid Street, Al-Azbakeya, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel']",0.0
النبيلة,Giza,Al Falouga Street,31.207761148308137,30.05909705,"النبيلة, Al Falouga Street, El Agouza, Giza, 12654, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
جراند حيات,Cairo,Abd Al Aziz Al Seoud Bridge,31.2276294,30.0348063,"Grand Hyatt, Abd Al Aziz Al Seoud Bridge, Al Manyal, Cairo, 11111, Egypt","['accommodation', 'accommodation.hotel']",0.0
أوديون,Cairo,Passage Abd Al Hamid Said,31.23863299332007,30.05055255,"Odeon, Passage Abd Al Hamid Said, Bab al Luq, Cairo, 11956, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'building.residential', 'wheelchair', 'wheelchair.yes']",0.0
فندق مايفير,Cairo,Al Aziz Othman Street,31.22100505,30.059424,"Mayfair Hotel, 9 Al Aziz Othman Street, Al-Sabtiyya, 11568, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
Continental Hotel (OLD),Cairo,Continental Passage,31.246333711117344,30.05180315,"Continental Hotel (OLD), Continental Passage, Al-Azbakeya, Cairo, 11574, Egypt","['accommodation', 'accommodation.hotel']",0.0
غولدن توليب فلامينكو,Cairo,Abou Al feda Street,31.215990432475472,30.0658824,"Golden Tulip Flamenco Hotel, 11 Abou Al feda Street, Al-Sabtiyya, 11568, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
شهرزاد,Giza,Kornish Al Nil Street,31.2154322,30.056728,"Shehrazad, Kornish Al Nil Street, El Agouza, Giza, 12654, Egypt","['accommodation', 'accommodation.hotel']",0.0
The Shepherd Hotel,Cairo,Abd Al Qader Hamza Street,31.23173468147065,30.04214105,"The Shepherd Hotel, Abd Al Qader Hamza Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
هوتيل بالاس,Faiyum,Al Horeya Street,30.8437023,29.3081066,"Palace Hotel, Al Horeya Street, Forth District, 63519, Egypt","['accommodation', 'accommodation.hotel']",0.0
دلتا الأهرام,Giza,Al Horeya Alley,31.1370932,29.9913026,"Delta Pyramids, Al Horeya Alley, Kom al Akhdar, Remaya Square, 12512, Egypt","['accommodation', 'accommodation.hotel']",0.0
كرلتون,Cairo,Al Borsa Street,31.24113004720932,30.0531726,"Roof Carlton, Al Borsa Street, Al-Azbakeya, Cairo, 11574, Egypt","['accommodation', 'accommodation.hotel', 'catering', 'catering.bar']",0.0
indiana Hôtel,Giza,Adel Hussein Rostom Street,31.217195548916894,30.0435449,"indiana Hôtel, 18 Adel Hussein Rostom Street, Dokki, Giza, 12611, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
Sara Inn,Cairo,Al Bostan Al Saedi Street,31.2390760904848,30.04661835,"Sara Inn, 1 Al Bostan Al Saedi Street, Abdin, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel']",0.0
Amin Hotel,Cairo,Al Falaky Street,31.23967576355176,30.04534915,"Amin Hotel, 34 Al Falaky Street, Abdin, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
Capital Hotel,Cairo,Bhler Passage,31.23976825,30.04824275,"Capital Hotel, 1 Bhler Passage, Abdin, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
Gresham,Cairo,Maarouf Street,31.239277278795484,30.049118,"Gresham, Maarouf Street, Bab al Luq, Cairo, 11956, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
Tonsy Hotel,Giza,Al Tahrir Street,31.218019114495377,30.0394806,"Tonsy Hotel, 147 Al Tahrir Street, Dokki, Giza, 12612, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'building.office']",0.0
فندق الأهرامات الثلاثة,Giza,Mohamed Salem Street,31.1763862,29.999636,"Barcelo Cairo Pyramides, Mohamed Salem Street, Giza, 12111, Egypt","['accommodation', 'accommodation.hotel']",0.0
Gawharet Al Ahram Hotel,Giza,Om Al Abtaal Square,31.15443360628238,29.9912609,"Gawharet Al Ahram Hotel, Om Al Abtaal Square, Kom al Akhdar, Giza, 12574, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
موفنبيك القاهرة - مدينة الانتاج الاعلامي,Giza,Al Wahat Road,31.0207595,29.9632295,"Movenpick Hotel - Media Production City, Al Wahat Road, Gardina Park valley, 6th of October, 12585, Egypt","['accommodation', 'accommodation.hotel']",0.0
مركور كايرو لو سفينكس,Giza,"Cairo, Alexandria Desert Road",31.1281259,29.9904964,"Mercure Cairo Le Sphinx, Cairo, Alexandria Desert Road, Remaya Square, 12559, Egypt","['accommodation', 'accommodation.hotel']",0.0
Pharaohs,Giza,Lotfi Hasouna Street,31.2185122,30.0422436,"Pharaohs, Lotfi Hasouna Street, Dokki, Giza, 12611, Egypt","['accommodation', 'accommodation.hotel']",0.0
Pharoah Egypt Hotel,Giza,Omar Tousoun Street,31.207506791799005,30.06264385,"Pharoah Egypt Hotel, Omar Tousoun Street, Meet Okba, Giza, 12658, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
Safir Hotel,Giza,Refaah Street,31.213403,30.0351353,"Safir Hotel, Refaah Street, Dokki, Giza, 12612, Egypt","['accommodation', 'accommodation.hotel']",0.0
Sakkara Country Club,Giza,"Zaweya Abou Moslem, Saqara Road",31.185601,29.9140543,"Sakkara Country Club, Zaweya Abou Moslem, Saqara Road, Abu Sir, 12947, Egypt","['accommodation', 'accommodation.hotel']",0.0
King Hotel,Giza,Abd Al Rahim Sabry Street,31.214383,30.0409859,"King Hotel, Abd Al Rahim Sabry Street, Dokki, Giza, 12611, Egypt","['accommodation', 'accommodation.hotel']",0.0
شيراتون دريم لاند,Giza,Al Wahat Road,31.0212474,29.9651096,"Sheraton Dreamland Hotel & Conference Center, Al Wahat Road, Gardina Park valley, 6th of October, 12585, Egypt","['accommodation', 'accommodation.hotel']",0.0
Tiap Hous,Giza,Mohamed Khalaf Street,31.2140328,30.0416081,"Tiap Hous, Mohamed Khalaf Street, Dokki, Giza, 12611, Egypt","['accommodation', 'accommodation.hotel']",0.0
Nouran,Giza,Mohamed Khalaf Street,31.2141061,30.0400118,"Nouran, Mohamed Khalaf Street, Dokki, Giza, 12611, Egypt","['accommodation', 'accommodation.hotel']",0.0
star plaza guest house,Giza,Doctor Michael Bakhum Street,31.2055397,30.0391947,"star plaza guest house, Doctor Michael Bakhum Street, Dokki, Giza, 12311, Egypt","['accommodation', 'accommodation.hotel']",0.0
My home,Giza,Ammar Ibn Yaser Street,31.1797531,30.0930635,"My home, Ammar Ibn Yaser Street, Bashteel Al-Balad, 12976, Egypt","['accommodation', 'accommodation.hotel']",0.0
سماح,Faiyum,Qaroun Street,30.8422466,29.3138776,"Grace, Qaroun Street, Second Darb Al Tabakhin, 63514, Egypt","['accommodation', 'accommodation.hotel']",0.0
قاعة المؤتمرات,Bani Sweif,Ring Road,31.1148876,29.0734481,"Conference Hall, Ring Road, Al Gezira Bahary, 62515, Egypt","['accommodation', 'accommodation.hotel']",0.0
HolydIes,Giza,Side Gamaa Al Doul Al Arabiya Street,31.2074897,30.059221,"HolydIes, Side Gamaa Al Doul Al Arabiya Street, El Agouza, Giza, 12654, Egypt","['accommodation', 'accommodation.hotel']",0.0
دار المركبات,Cairo,Al Seka Al Baida' Street,31.2878045,30.0648749,"دار المركبات, Al Seka Al Baida' Street, Cairo, 11535, Egypt","['accommodation', 'accommodation.hotel']",0.0
فندق لاڤي,Cairo,Talaat Harb Street,31.2418231,30.0525959,"Lavie Hotel, Talaat Harb Street, Bab al Luq, Cairo, 11956, Egypt","['accommodation', 'accommodation.hotel']",0.0
Lavie Hotel,Cairo,26th July Street,31.241769,30.0526148,"Lavie Hotel, 26th July Street, Al-Azbakeya, Cairo, 11574, Egypt","['accommodation', 'accommodation.hotel']",0.0
لي لي,Cairo,Sherif Pasha Street,31.2424756,30.0525168,"Ly ly, Sherif Pasha Street, Al-Azbakeya, Cairo, 11956, Egypt","['accommodation', 'accommodation.hotel']",0.0
منزلي مصر,Giza,Gada Street,31.197698,30.0446059,"منزلي مصر, Gada Street, El Mohandesin, Giza, 12615, Egypt","['accommodation', 'accommodation.hotel']",0.0
منتجع الاسيوطي سبورت,Faiyum,"Cairo, Asyout Western Desert Road",31.1139152,29.4017341,"منتجع الاسيوطي سبورت, Cairo, Asyout Western Desert Road, Egypt","['accommodation', 'accommodation.hotel']",0.0
فندق ميركور,Giza,Al Haram Street,31.1337285,29.986834,"فندق ميركور, Al Haram Street, Kom al Akhdar, Remaya Square, 12512, Egypt","['accommodation', 'accommodation.hotel']",0.0
pyramids family inn,Giza,Al Salam Street,31.1437447,29.9775111,"pyramids family inn, 2 Al Salam Street, Kom al Akhdar, Giza, 12125, Egypt","['accommodation', 'accommodation.hotel']",0.0
هوليداي ان,Cairo,Kornish Al Nil Street,31.2478985,29.9606675,"Holiday Inn, Kornish Al Nil Street, Al-Maasara, Cairo, 11917, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",0.0
Atlantis Pyramids Inn,Giza,Bni Sofyan Street,31.1401736,29.9759431,"Atlantis Pyramids Inn, 4 Bni Sofyan Street, Kom al Akhdar, Giza, 12557, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",0.0
Pyramids plateau inn,Giza,Abou Al Houl Al Syahi Western Street,31.141815,29.9760233,"Pyramids plateau inn, 2 Abou Al Houl Al Syahi Western Street, Kom al Akhdar, Giza, 12557, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",0.0
The Shepherd Hotel,Cairo,Abd Al Qader Hamza Street,31.231877,30.0420866,"The Shepherd Hotel, Abd Al Qader Hamza Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'tourism', 'tourism.sights']",0.0
Le Riad Hotel de Charme,Cairo,Atafet Borgwan,31.2617601,30.0521855,"Le Riad Hotel de Charme, Atafet Borgwan, El-Gamaliyya, Cairo, 11681, Egypt","['accommodation', 'accommodation.hotel']",0.0
شهاب,Cairo,Al Moshir Ahmed Ismail Street,31.3753113,29.8382924,"Home, Al Moshir Ahmed Ismail Street, Cairo, 11798, Egypt","['accommodation', 'accommodation.hotel']",0.0
صبحي,Giza,Mahmoud Abd Al Rahman Street,31.1855018,30.0845709,"صبحي, Mahmoud Abd Al Rahman Street, Bashteel Al-Balad, 12976, Egypt","['accommodation', 'accommodation.hotel']",0.0
شهاب,Cairo,Al Moshir Ahmed Ismail Street,31.3752231,29.8383088,"Sheehab, Al Moshir Ahmed Ismail Street, Cairo, 11798, Egypt","['accommodation', 'accommodation.hotel']",0.0
نهر النيل,Cairo,Kornish Al Nil Street,31.2501664,29.9570684,"نهر النيل, Kornish Al Nil Street, Al-Maasara, Cairo, 11917, Egypt","['accommodation', 'accommodation.hotel', 'man_made', 'man_made.water_tower', 'tourism.sights']",0.0
الخولي,Cairo,Al Moshir Ahmed Ismail Street,31.3754239,29.8385368,"الخولي, Al Moshir Ahmed Ismail Street, Cairo, 11798, Egypt","['accommodation', 'accommodation.hotel']",0.0
"Marriott Mena House, Cairo",Giza,"Cairo, Alexandria Desert Road",31.1327491,29.9858579,"Marriott Mena House, Cairo, 6 Cairo, Alexandria Desert Road, Giza, 12556, Egypt","['accommodation', 'accommodation.hotel']",0.0
The St. Regis Cairo,Cairo,Kornish Al Nil Street,31.227601,30.0630181,"The St. Regis Cairo, 1189 Kornish Al Nil Street, Al-Sabtiyya, Cairo, 11624, Egypt","['accommodation', 'accommodation.hotel']",0.0
جوهرة الهرم,Giza,Al Haram Street,31.154173,29.9913412,"Gawharet Al Ahram, Al Haram Street, Kom al Akhdar, Giza, 12574, Egypt","['accommodation', 'accommodation.hotel']",0.0
Royal pyramids Inn,Giza,Al Al Farazdq Street,31.1414565,29.9740365,"Royal pyramids Inn, 5 Al Al Farazdq Street, Nazlet al Batran, Giza, 12557, Egypt","['accommodation', 'accommodation.hotel']",0.0
Pyramids View apartment,Giza,Yehya Abd Al Naby Street,31.1415906,29.9742409,"Pyramids View apartment, 6 Yehya Abd Al Naby Street, Nazlet al Batran, Giza, 12557, Egypt","['accommodation', 'accommodation.hotel']",0.0
Pyramids Inn,Giza,Ibn Touloun Street,31.1438038,29.9727205,"Pyramids Inn, 12 Ibn Touloun Street, Nazlet al Batran, Giza, 12557, Egypt","['accommodation', 'accommodation.hotel']",0.0
Le Riad Pyramids Hotel,Giza,Rowda Al Ahram Street,31.1308122,29.9906676,"Le Riad Pyramids Hotel, Rowda Al Ahram Street, Remaya Square, 12512, Egypt","['accommodation', 'accommodation.hotel']",0.0
مارفل ستون هوتل,Giza,Zuqaq Garir,31.1415167,29.9749036,"Marvel Stone Hotel, Zuqaq Garir, Nazlet al Batran, Giza, 12125, Egypt","['accommodation', 'accommodation.hotel']",0.0
Pyramids Loft Guesthouse,Giza,Al Salam Street,31.1435767,29.975948,"Pyramids Loft Guesthouse, Al Salam Street, Kom al Akhdar, Giza, 12125, Egypt","['accommodation', 'accommodation.hotel']",0.0
City Hostel,Cairo,Al Gnena Street,31.2481125,30.0537395,"City Hostel, Al Gnena Street, Al-Azbakeya, Cairo, 11668, Egypt","['accommodation', 'accommodation.hotel']",0.0
Freedom Hostel (Good address),Cairo,Bank Masr Street,31.2426495,30.0483467,"Freedom Hostel (Good address), Bank Masr Street, Bab al Luq, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel']",0.0
