name,state,district,street,lon,lat,formatted,categories,
Crown Hotel,Cairo,El Fawala,Gawad Hosny Street,31.2432594,30.0485916,"Crown Hotel, 16 Gawad Hosny Street, Bab al Luq, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",
فندق كمبنسكي النيل القاهرة,Cairo,Qasr Al Doubara,Ahmed Ragheb Street,31.23085014,30.0387215,"Kempinski Nile Hotel Garden City Cairo, 12 Ahmed Ragheb Street, Bab al Luq, Cairo, 11241, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
فيكتوريا,Cairo,El Qabelyya,Al Gemhoureya Street,31.2459285,30.0566901,"Victoria, 66 Al Gemhoureya Street, Al-Azbakeya, Cairo, 11523, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
النيل,Cairo,Al Ismalia,Wasem Hassn Street,31.23236708,30.04588595,"The Nile Ritz-Carlton, Cairo, Wasem Hassn Street, Bab al Luq, Cairo, 11556, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
ماريوت القاهرة,Cairo,El Gabalayya,Al Gezira Street,31.22448237,30.0568203,"Cairo Marriott Hotel & Omar Khayyam Casino, 16 Al Gezira Street, Boulak, 11211, Egypt","['accommodation', 'accommodation.hotel']",
فندق لونشان,Cairo,Abo El Feda,Ismail Mohamed Street,31.2191142,30.0638579,"Hotel Longchamps, Ismail Mohamed Street, Al-Sabtiyya, 11568, Egypt","['accommodation', 'accommodation.hotel']",
"InterContinental Cairo Semiramis, an IHG Hotel",Cairo,Qasr Al Doubara,Kamal Al Din Hussain Street,31.23226068,30.0428649,"InterContinental Cairo Semiramis, an IHG Hotel, Kamal Al Din Hussain Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",
hotel Velvet 1915,Cairo,Maarouf,Maarouf Street,31.23907422,30.04926655,"hotel Velvet 1915, 2 Maarouf Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
فندق أوزيريس,Cairo,El Sheikh Abd Allah,Mohamed Mahmoud Street,31.24155396,30.0425956,"Hotel Osiris, Mohamed Mahmoud Street, Bab al Luq, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
Windsor,Cairo,Orabi Al Tawfikeya,Mohamed Bek Al Alfy Street,31.24574315,30.05343105,"Windsor, 19 Mohamed Bek Al Alfy Street, Al-Azbakeya, Cairo, 11574, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
Regent House Hotel,Cairo,Maarouf,Al Shai Al Hendy Passage,31.2396366,30.048999,"Regent House Hotel, 2 Al Shai Al Hendy Passage, Bab al Luq, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",
جمعية فنادق الشباب المصري,Cairo,West Al Manial,Abd Al Aziz Al Seoud Street,31.2243921,30.0275393,"Youth Hotel, Abd Al Aziz Al Seoud Street, Al Manyal, Cairo, 11555, Egypt","['accommodation', 'accommodation.hotel']",
اسماعيل ابو السعود,Giza,North Tourist Area 1,Waslet Dahshur Road,30.9687471,30.017301,"ismail abu alsoud, 95 Waslet Dahshur Road, October Hills, 12588, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",
Suisse Hotel,Cairo,Maarouf,Mohamed Basyouni Street,31.2373404,30.0482677,"Suisse Hotel, 26 Mohamed Basyouni Street, Bab al Luq, Cairo, 11556, Egypt","['accommodation', 'accommodation.hotel']",
فندق فور سيزون نايل بلازا القاهره,Cairo,Garden City,Kornish Al Nil Street,31.2293727,30.0362273,"Four Seasons Hotel Cairo at Nile Plaza, 1089 Kornish Al Nil Street, Al Manyal, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel']",
Almadiafa - المضيفه,Cairo,Al Ismalia,Champollion Street,31.2353043,30.0472654,"Almadiafa, 4 Champollion Street, Al-Azbakeya, Cairo, 11556, Egypt","['accommodation', 'accommodation.hotel']",
فندق الزمالك لضباط القوات المسلحة,Cairo,Mohamed Mazhar,15th May Bridge,31.21931338,30.0615215,"Zamalek Hotel For Armed Forces Officers, 15th May Bridge, Al-Sabtiyya, 11211, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
فندق العربي,Cairo,Al Roda and Al Mekyas,Abd Al Aziz Al Seoud Street,31.22299162,30.01084455,"Al-Arabi, Abd Al Aziz Al Seoud Street, Masr Al-Qadima, Cairo, 11451, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
فندق أوروبا,Cairo,El Khazan,Yaser Rezq Axis,31.27472578,30.0211476,"Europe Hotel, Yaser Rezq Axis, Mokattam, Cairo, 11699, Egypt","['accommodation', 'accommodation.hotel']",
سوبك,Faiyum,Evelyn Street,30.49592369,29.3961917,"Sobek Lodge, Evelyn Street, Youssef Al Sediq City, Egypt","['accommodation', 'accommodation.hotel']",,
فندق أم كلثوم,Cairo,Abo El Feda,Ibn Al Nabeyh Street,31.2159286,30.0645602,"Om Kalthoom Hotel, Ibn Al Nabeyh Street, Al-Sabtiyya, 11568, Egypt","['accommodation', 'accommodation.hotel', 'wheelchair', 'wheelchair.limited']",
فندق إيزيس,Cairo,District 6,Gamal Selim Street,31.32961874,30.03951955,"Isis Hotel, Gamal Selim Street, Nasr City, Cairo, 11717, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'building.commercial']",
بنسيون روما,Cairo,El Fawala,Mohamed Farid Street,31.244547,30.0515136,"Pension Roma, Mohamed Farid Street, Al-Azbakeya, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel']",
جراند حيات,Cairo,West Al Manial,Abd Al Aziz Al Seoud Bridge,31.2276294,30.0348063,"Grand Hyatt, Abd Al Aziz Al Seoud Bridge, Al Manyal, Cairo, 11111, Egypt","['accommodation', 'accommodation.hotel']",
أوديون,Cairo,Maarouf,Passage Abd Al Hamid Said,31.23863299,30.05055255,"Odeon, Passage Abd Al Hamid Said, Bab al Luq, Cairo, 11956, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'building.residential', 'wheelchair', 'wheelchair.yes']",
فندق مايفير,Cairo,El Gabalayya,Al Aziz Othman Street,31.22100505,30.059424,"Mayfair Hotel, 9 Al Aziz Othman Street, Al-Sabtiyya, 11568, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
Continental Hotel (OLD),Cairo,El Fawala,Continental Passage,31.24633371,30.05180315,"Continental Hotel (OLD), Continental Passage, Al-Azbakeya, Cairo, 11574, Egypt","['accommodation', 'accommodation.hotel']",[]
غولدن توليب فلامينكو,Cairo,Abo El Feda,Abou Al feda Street,31.21599043,30.0658824,"Golden Tulip Flamenco Hotel, 11 Abou Al feda Street, Al-Sabtiyya, 11568, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
The Shepherd Hotel,Cairo,Qasr Al Doubara,Abd Al Qader Hamza Street,31.23173468,30.04214105,"The Shepherd Hotel, Abd Al Qader Hamza Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",[]
كرلتون,Cairo,Orabi Al Tawfikeya,Al Borsa Street,31.24113005,30.0531726,"Roof Carlton, Al Borsa Street, Al-Azbakeya, Cairo, 11574, Egypt","['accommodation', 'accommodation.hotel', 'catering', 'catering.bar']",
Sara Inn,Cairo,Bab El Louk,Al Bostan Al Saedi Street,31.23907609,30.04661835,"Sara Inn, 1 Al Bostan Al Saedi Street, Abdin, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel']",[]
Amin Hotel,Cairo,Bab El Louk,Al Falaky Street,31.23967576,30.04534915,"Amin Hotel, 34 Al Falaky Street, Abdin, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",[]
Capital Hotel,Cairo,Bab El Louk,Bhler Passage,31.23976825,30.04824275,"Capital Hotel, 1 Bhler Passage, Abdin, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",[]
Gresham,Cairo,Maarouf,Maarouf Street,31.23927728,30.049118,"Gresham, Maarouf Street, Bab al Luq, Cairo, 11956, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
موفنبيك القاهرة - مدينة الانتاج الاعلامي,Giza,Block 3,Al Wahat Road,31.0207595,29.9632295,"Movenpick Hotel - Media Production City, Al Wahat Road, Gardina Park valley, 6th of October, 12585, Egypt","['accommodation', 'accommodation.hotel']",
فندق لاڤي,Cairo,Maarouf,Talaat Harb Street,31.2418231,30.0525959,"Lavie Hotel, Talaat Harb Street, Bab al Luq, Cairo, 11956, Egypt","['accommodation', 'accommodation.hotel']",
Lavie Hotel,Cairo,Maarouf,26th July Street,31.241769,30.0526148,"Lavie Hotel, 26th July Street, Al-Azbakeya, Cairo, 11574, Egypt","['accommodation', 'accommodation.hotel']",
لي لي,Cairo,Bab El Louk,Sherif Pasha Street,31.2424756,30.0525168,"Ly ly, Sherif Pasha Street, Al-Azbakeya, Cairo, 11956, Egypt","['accommodation', 'accommodation.hotel']",
هوليداي ان,Cairo,Torah Al Asmant,Kornish Al Nil Street,31.2478985,29.9606675,"Holiday Inn, Kornish Al Nil Street, Al-Maasara, Cairo, 11917, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",
The Shepherd Hotel,Cairo,Qasr Al Doubara,Abd Al Qader Hamza Street,31.231877,30.0420866,"The Shepherd Hotel, Abd Al Qader Hamza Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'tourism', 'tourism.sights']",[]
Le Riad Hotel de Charme,Cairo,Bab El Fetouh,Atafet Borgwan,31.2617601,30.0521855,"Le Riad Hotel de Charme, Atafet Borgwan, El-Gamaliyya, Cairo, 11681, Egypt","['accommodation', 'accommodation.hotel']",[]
شهاب,Cairo,Neighborhood 14,Al Moshir Ahmed Ismail Street,31.3753113,29.8382924,"Home, Al Moshir Ahmed Ismail Street, Cairo, 11798, Egypt","['accommodation', 'accommodation.hotel']",
شهاب,Cairo,Neighborhood 14,Al Moshir Ahmed Ismail Street,31.3752231,29.8383088,"Sheehab, Al Moshir Ahmed Ismail Street, Cairo, 11798, Egypt","['accommodation', 'accommodation.hotel']",
نهر النيل,Cairo,Torah Al Asmant,Kornish Al Nil Street,31.2501664,29.9570684,"نهر النيل, Kornish Al Nil Street, Al-Maasara, Cairo, 11917, Egypt","['accommodation', 'accommodation.hotel', 'man_made', 'man_made.water_tower', 'tourism.sights']",
الخولي,Cairo,Neighborhood 14,Al Moshir Ahmed Ismail Street,31.3754239,29.8385368,"الخولي, Al Moshir Ahmed Ismail Street, Cairo, 11798, Egypt","['accommodation', 'accommodation.hotel']",
The St. Regis Cairo,Cairo,Souk El A'sr,Kornish Al Nil Street,31.227601,30.0630181,"The St. Regis Cairo, 1189 Kornish Al Nil Street, Al-Sabtiyya, Cairo, 11624, Egypt","['accommodation', 'accommodation.hotel']",
City Hostel,Cairo,El Rihany Kantara El Daka,Al Gnena Street,31.2481125,30.0537395,"City Hostel, Al Gnena Street, Al-Azbakeya, Cairo, 11668, Egypt","['accommodation', 'accommodation.hotel']",[]
Freedom Hostel (Good address),Cairo,El Fawala,Bank Masr Street,31.2426495,30.0483467,"Freedom Hostel (Good address), Bank Masr Street, Bab al Luq, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel']",[]
Gresham Hotel,Cairo,Maarouf,Talaat Harb Street,31.2387148,30.0485745,"Gresham Hotel, 22 Talaat Harb Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']",
Tahrir Plaza Suites Hotel,Cairo,Al Ismalia,Merit Pasha Street,31.2348627,30.0486474,"Tahrir Plaza Suites Hotel, 19 Merit Pasha Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel']",[]
Cleopatra Hotel,Cairo,Al Ismalia,Abd Al Salam Aref Street,31.2353548,30.0462969,"Cleopatra Hotel, Abd Al Salam Aref Street, Bab al Luq, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.for_customers', 'wheelchair', 'wheelchair.limited']",
فندق نور الصباح,Cairo,Khan El Khalili,Khan Al Khalili Street,31.2621557,30.0474934,"Nour Elsabah, Khan Al Khalili Street, Islamic Cairo, Cairo, 11261, Egypt","['accommodation', 'accommodation.hotel']",
Memar Almorshedy,Cairo,District 7,Al Abany Street,31.3212088,29.985867,"Memar Almorshedy, Al Abany Street, Cairo, 11571, Egypt","['accommodation', 'accommodation.hotel']",
Valencia,Cairo,Maarouf,Talaat Harb Street,31.23960779,30.0488426,"Valencia, 21 Talaat Harb Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
Swiss Inn Pyramids Golf Resort,Giza,Block 3,Al Wahat Road,31.04696387,29.9630842,"Swiss Inn Pyramids Golf Resort, Al Wahat Road, Gardina Park valley, 6th of October, 12585, Egypt","['accommodation', 'accommodation.hotel']",
family palace hotel,Cairo,Orabi Al Tawfikeya,B Tech Passage,31.24451553,30.0521705,"family palace hotel, B Tech Passage, Al-Azbakeya, Cairo, 11574, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'building.residential']",
Lagoona,Giza,Kafr Al Gabal,Abou Al Houl Al Syahi Street,31.1536378,29.9568667,"Lagoona, Abou Al Houl Al Syahi Street, Nazlet al Batran, Remaya Square, 12561, Egypt","['accommodation', 'accommodation.hotel']",
The Square Boutique Hotel,Cairo,Bab El Louk,Mohamed Sabry Abou Alam Street,31.238954,30.0472745,"The Square Boutique Hotel, Mohamed Sabry Abou Alam Street, Bab al Luq, Cairo, 11613, Egypt","['accommodation', 'accommodation.hotel']",
Cosmopolitan Hotel,Cairo,Bab El Louk,Abou Bakr Khairat Street,31.2403433,30.047706,"Cosmopolitan Hotel, Abou Bakr Khairat Street, Bab al Luq, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel']",
Pyramids Planet Hotel,Giza,Area F,Street 9,31.1079449,29.9614768,"Pyramids Planet Hotel, Street 9, Giza, 12559, Egypt","['accommodation', 'accommodation.hotel']",
Eileen Hotel Cairo,Cairo,Bab El Louk,Youssef Al Gendy Street,31.2394293,30.0459882,"Eileen Hotel Cairo, 21 Youssef Al Gendy Street, Abdin, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel']",
Atlas international hotel,Cairo,El Fawala,El Fawala Street,31.2462697,30.0483875,"Atlas international hotel, El Fawala Street, Bab al Shariyah, Cairo, 11518, Egypt","['accommodation', 'accommodation.hotel']",
Centro Cairo Hotel,Cairo,Bab El Louk,Sherif Pasha Street,31.2421843,30.0507737,"Centro Cairo Hotel, 32 Sherif Pasha Street, Abdin, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel']",
Ramses Hilton,Cairo,Sharkas,Al Ghelal Street,31.23192005,30.0505894,"Ramses Hilton, 1115 Al Ghelal Street, Boulak, Cairo, 12344, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'wheelchair', 'wheelchair.yes']",
Conrad Cairo,Cairo,Souk El A'sr,Al Matbaah Al Amireh Street,31.22819205,30.0654238,"Conrad Cairo, 1191 Al Matbaah Al Amireh Street, Al-Sabtiyya, Cairo, 11221, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",
Hilton Pyramids Golf,Giza,Block 3,Al Wahat Road,31.04439972,29.96299995,"Hilton Pyramids Golf, Al Wahat Road, Gardina Park valley, 6th of October, 12585, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'wheelchair', 'wheelchair.yes']",
Hilton Cairo Zamalek Residences,Cairo,Mohamed Mazhar,Mohamed Mazhar Street,31.22270627,30.06799785,"Hilton Cairo Zamalek Residences, 21 Mohamed Mazhar Street, Al-Sabtiyya, 11211, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",
"Fairmont Nile City Hotel, Cairo",Cairo,El Sabteya,Kornish Al Nil Street,31.22787669,30.0719545,"Fairmont Nile City Hotel, Cairo, Kornish Al Nil Street, Al-Sabtiyya, Cairo, 11624, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",
Horus House Hotel,Cairo,Abo El Feda,Ismail Mohamed Street,31.2192726,30.0637719,"Horus House Hotel, 21 Ismail Mohamed Street, Al-Sabtiyya, 11568, Egypt","['accommodation', 'accommodation.hotel']",
Arabian Nights,Cairo,Al Mansuriyya,Al Aded Street,31.2672675,30.0486398,"Arabian Nights, 10 Al Aded Street, Islamic Cairo, Cairo, 11633, Egypt","['accommodation', 'accommodation.hotel']",
Golden Tulip Hotel October,Giza,Social Housing Land 2015,Side Zewil Street,31.0530119,29.9481384,"Golden Tulip Hotel October, Side Zewil Street, Al Fardous City, 6th of October, 12578, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']",
Cairo World Trade Center Hotel & Residences,Cairo,Souk El A'sr,Al Matbaah Al Amireh Street,31.2281499,30.0643123,"Cairo World Trade Center Hotel & Residences, 1191 Al Matbaah Al Amireh Street, Al-Sabtiyya, Cairo, 11221, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']",
براسبيل,Cairo,Maarouf,Talaat Harb Street,31.241795,30.0517845,"Brassbell, Talaat Harb Street, Bab al Luq, Cairo, 11956, Egypt","['accommodation', 'accommodation.hotel']",
Crown Hotel,Cairo,El Fawala,Gawad Hosny Street,31.2432594,30.0485916,"Crown Hotel, 16 Gawad Hosny Street, Bab al Luq, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",
فندق كمبنسكي النيل القاهرة,Cairo,Qasr Al Doubara,Ahmed Ragheb Street,31.23085014,30.0387215,"Kempinski Nile Hotel Garden City Cairo, 12 Ahmed Ragheb Street, Bab al Luq, Cairo, 11241, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
فيكتوريا,Cairo,El Qabelyya,Al Gemhoureya Street,31.2459285,30.0566901,"Victoria, 66 Al Gemhoureya Street, Al-Azbakeya, Cairo, 11523, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
النيل,Cairo,Al Ismalia,Wasem Hassn Street,31.23236708,30.04588595,"The Nile Ritz-Carlton, Cairo, Wasem Hassn Street, Bab al Luq, Cairo, 11556, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
ماريوت القاهرة,Cairo,El Gabalayya,Al Gezira Street,31.22448237,30.0568203,"Cairo Marriott Hotel & Omar Khayyam Casino, 16 Al Gezira Street, Boulak, 11211, Egypt","['accommodation', 'accommodation.hotel']",
فندق لونشان,Cairo,Abo El Feda,Ismail Mohamed Street,31.2191142,30.0638579,"Hotel Longchamps, Ismail Mohamed Street, Al-Sabtiyya, 11568, Egypt","['accommodation', 'accommodation.hotel']",
"InterContinental Cairo Semiramis, an IHG Hotel",Cairo,Qasr Al Doubara,Kamal Al Din Hussain Street,31.23226068,30.0428649,"InterContinental Cairo Semiramis, an IHG Hotel, Kamal Al Din Hussain Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",
hotel Velvet 1915,Cairo,Maarouf,Maarouf Street,31.23907422,30.04926655,"hotel Velvet 1915, 2 Maarouf Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
فندق أوزيريس,Cairo,El Sheikh Abd Allah,Mohamed Mahmoud Street,31.24155396,30.0425956,"Hotel Osiris, Mohamed Mahmoud Street, Bab al Luq, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
Windsor,Cairo,Orabi Al Tawfikeya,Mohamed Bek Al Alfy Street,31.24574315,30.05343105,"Windsor, 19 Mohamed Bek Al Alfy Street, Al-Azbakeya, Cairo, 11574, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
Regent House Hotel,Cairo,Maarouf,Al Shai Al Hendy Passage,31.2396366,30.048999,"Regent House Hotel, 2 Al Shai Al Hendy Passage, Bab al Luq, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",
جمعية فنادق الشباب المصري,Cairo,West Al Manial,Abd Al Aziz Al Seoud Street,31.2243921,30.0275393,"Youth Hotel, Abd Al Aziz Al Seoud Street, Al Manyal, Cairo, 11555, Egypt","['accommodation', 'accommodation.hotel']",
اسماعيل ابو السعود,Giza,North Tourist Area 1,Waslet Dahshur Road,30.9687471,30.017301,"ismail abu alsoud, 95 Waslet Dahshur Road, October Hills, 12588, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",
Suisse Hotel,Cairo,Maarouf,Mohamed Basyouni Street,31.2373404,30.0482677,"Suisse Hotel, 26 Mohamed Basyouni Street, Bab al Luq, Cairo, 11556, Egypt","['accommodation', 'accommodation.hotel']",
فندق فور سيزون نايل بلازا القاهره,Cairo,Garden City,Kornish Al Nil Street,31.2293727,30.0362273,"Four Seasons Hotel Cairo at Nile Plaza, 1089 Kornish Al Nil Street, Al Manyal, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel']",
Almadiafa - المضيفه,Cairo,Al Ismalia,Champollion Street,31.2353043,30.0472654,"Almadiafa, 4 Champollion Street, Al-Azbakeya, Cairo, 11556, Egypt","['accommodation', 'accommodation.hotel']",
فندق الزمالك لضباط القوات المسلحة,Cairo,Mohamed Mazhar,15th May Bridge,31.21931338,30.0615215,"Zamalek Hotel For Armed Forces Officers, 15th May Bridge, Al-Sabtiyya, 11211, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
فندق العربي,Cairo,Al Roda and Al Mekyas,Abd Al Aziz Al Seoud Street,31.22299162,30.01084455,"Al-Arabi, Abd Al Aziz Al Seoud Street, Masr Al-Qadima, Cairo, 11451, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
فندق أوروبا,Cairo,El Khazan,Yaser Rezq Axis,31.27472578,30.0211476,"Europe Hotel, Yaser Rezq Axis, Mokattam, Cairo, 11699, Egypt","['accommodation', 'accommodation.hotel']",
فندق أم كلثوم,Cairo,Abo El Feda,Ibn Al Nabeyh Street,31.2159286,30.0645602,"Om Kalthoom Hotel, Ibn Al Nabeyh Street, Al-Sabtiyya, 11568, Egypt","['accommodation', 'accommodation.hotel', 'wheelchair', 'wheelchair.limited']",
بنسيون روما,Cairo,El Fawala,Mohamed Farid Street,31.244547,30.0515136,"Pension Roma, Mohamed Farid Street, Al-Azbakeya, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel']",
جراند حيات,Cairo,West Al Manial,Abd Al Aziz Al Seoud Bridge,31.2276294,30.0348063,"Grand Hyatt, Abd Al Aziz Al Seoud Bridge, Al Manyal, Cairo, 11111, Egypt","['accommodation', 'accommodation.hotel']",
أوديون,Cairo,Maarouf,Passage Abd Al Hamid Said,31.23863299,30.05055255,"Odeon, Passage Abd Al Hamid Said, Bab al Luq, Cairo, 11956, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'building.residential', 'wheelchair', 'wheelchair.yes']",
فندق مايفير,Cairo,El Gabalayya,Al Aziz Othman Street,31.22100505,30.059424,"Mayfair Hotel, 9 Al Aziz Othman Street, Al-Sabtiyya, 11568, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
Continental Hotel (OLD),Cairo,El Fawala,Continental Passage,31.24633371,30.05180315,"Continental Hotel (OLD), Continental Passage, Al-Azbakeya, Cairo, 11574, Egypt","['accommodation', 'accommodation.hotel']",[]
غولدن توليب فلامينكو,Cairo,Abo El Feda,Abou Al feda Street,31.21599043,30.0658824,"Golden Tulip Flamenco Hotel, 11 Abou Al feda Street, Al-Sabtiyya, 11568, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",
The Shepherd Hotel,Cairo,Qasr Al Doubara,Abd Al Qader Hamza Street,31.23173468,30.04214105,"The Shepherd Hotel, Abd Al Qader Hamza Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",[]
كرلتون,Cairo,Orabi Al Tawfikeya,Al Borsa Street,31.24113005,30.0531726,"Roof Carlton, Al Borsa Street, Al-Azbakeya, Cairo, 11574, Egypt","['accommodation', 'accommodation.hotel', 'catering', 'catering.bar']",
